id,title,text,rating,author,app_version,created_at,country,cleaned_text,sentiment,sentiment_score
13902264315,Scam,"I bought a one pound “who’s your husband” reading as a fun thing to do with my friends, and it started a monthly “website” subscription that I wasn’t made aware of, not via email or by apple as it’s not in the app and has been charging me 50 quid a month. I have contacted support and am awaiting a refund- just something to be aware of for those like me who got the ad on Insta and wanted to have some fun. Disgusting.",1,ysplha,,2026-03-30T04:44:34Z,gb,"Scam. I bought a one pound “who’s your husband” reading as a fun thing to do with my friends, and it started a monthly “website” subscription that I wasn’t made aware of, not via email or by apple as it’s not in the app and has been charging me 50 quid a month. I have contacted support and am awaiting a refund- just something to be aware of for those like me who got the ad on Insta and wanted to have some fun. Disgusting.",negative,-0.1109
13074728897,Beautiful app but disappointing setup,"The app looks amazing and has so much potential, but honestly, it feels frustrating to use. Whatever I press — whether it’s “get your chart” or “find out what type of witch you are” — it’s all an extra charge. Literally everything is an additional cost. This creates a trapped feeling, like you can’t enjoy the app without constantly paying more. Why not just charge a bit more upfront and include all the features? The way it’s set up now feels like a cheap money-grab, which really takes away from what could otherwise be a great experience.",2,Mila Maurus,,2025-08-29T14:37:40Z,gb,"Beautiful app but disappointing setup. The app looks amazing and has so much potential, but honestly, it feels frustrating to use. Whatever I press — whether it’s “get your chart” or “find out what type of witch you are” — it’s all an extra charge. Literally everything is an additional cost. This creates a trapped feeling, like you can’t enjoy the app without constantly paying more. Why not just charge a bit more upfront and include all the features? The way it’s set up now feels like a cheap money-grab, which really takes away from what could otherwise be a great experience.",positive,0.2255
13085828229,Misleading subscription model,"I came across this app via a Facebook ad and took the quiz out of curiosity. I opted for the free trial, paying $1 to access my results, with no intention of subscribing to their premium services.
Knowing how repeat subscriptions often work, I checked both my App Store subscriptions and phone settings, no active subscription appeared. To my shock, I was later charged €39.
When I contacted support, even their own web bot confirmed I had no active subscription. I then received a long-winded email explaining why their subscription doesn’t show up in the App Store or phone settings. To make matters worse, I was told the policy was “very clearly” stated, buried, no doubt, in fine print.
With no accessible way to view or cancel the subscription, it feels like this is designed to catch out unsuspecting customers. A quick way to make money, but an even faster way to lose trust.",1,Kiki8825,,2025-09-01T11:21:20Z,gb,"Misleading subscription model. I came across this app via a Facebook ad and took the quiz out of curiosity. I opted for the free trial, paying $1 to access my results, with no intention of subscribing to their premium services. Knowing how repeat subscriptions often work, I checked both my App Store subscriptions and phone settings, no active subscription appeared. To my shock, I was later charged €39. When I contacted support, even their own web bot confirmed I had no active subscription. I then received a long-winded email explaining why their subscription doesn’t show up in the App Store or phone settings. To make matters worse, I was told the policy was “very clearly” stated, buried, no doubt, in fine print. With no accessible way to view or cancel the subscription, it feels like this is designed to catch out unsuspecting customers. A quick way to make money, but an even faster way to lose trust.",negative,-0.6703
14080268204,Scam / fraud,"Just a simple, professionally made scam. I wish this idea came to me sooner, I would be living in Beverly Hills. Paid £5 for a sketch which I never got, paid for a “tarot reading” £15 which I also never got. The whole system is automated, obviously there are no witches shuffling cards at the background. And of course Ts&Cs set out right at the beginning “you wave your rights to file a lawsuit “. Just brilliant!",1,Kurkoe,,2026-05-19T00:30:13Z,gb,"Scam / fraud. Just a simple, professionally made scam. I wish this idea came to me sooner, I would be living in Beverly Hills. Paid £5 for a sketch which I never got, paid for a “tarot reading” £15 which I also never got. The whole system is automated, obviously there are no witches shuffling cards at the background. And of course Ts&Cs set out right at the beginning “you wave your rights to file a lawsuit “. Just brilliant!",negative,-0.922
12594961811,Don’t trust this app,"Like so many of these apps, they work by misleading their users. Out of curiosity, I paid 1 Euro for a report only to find that, without my consent, I had also been charged £25 for a subscription I did not want or agree to. No doubt there was (very) small print somewhere, but it wasn’t explicit and I MIND being taken advantage of. This is the best way to lose users, when the business model is obvs based on repeat subscriptions.. Nobody will stick around if you use tactics like that. Appalling.",1,JC/9,,2025-04-28T08:44:42Z,gb,"Don’t trust this app. Like so many of these apps, they work by misleading their users. Out of curiosity, I paid 1 Euro for a report only to find that, without my consent, I had also been charged £25 for a subscription I did not want or agree to. No doubt there was (very) small print somewhere, but it wasn’t explicit and I MIND being taken advantage of. This is the best way to lose users, when the business model is obvs based on repeat subscriptions.. Nobody will stick around if you use tactics like that. Appalling.",negative,-0.1427
6825542188,Love it!!!,I’ve had this app for a few weeks now and I love it so much! It’s so accurate! I use it mostly for the daily horoscope. However I went on it today and the horoscope wasn’t loading?? I thought it was my wifi but it’s not so I’m not sure if this is a bug in the system or something? Could you help please?:),5,FreyaSelwood,,2021-01-03T10:50:06Z,gb,Love it!!!. I’ve had this app for a few weeks now and I love it so much! It’s so accurate! I use it mostly for the daily horoscope. However I went on it today and the horoscope wasn’t loading?? I thought it was my wifi but it’s not so I’m not sure if this is a bug in the system or something? Could you help please?:),positive,0.9499
5965681303,Good! But...,"I'm a 12 year old who loves astrology. I really like the features in this app but i do have a slight problem. i'm not allowed to pay money on my phone. I really wish i could check my compatibility without having to watch a video before. overall, this is a good app. btw im sun in aquarius, moon in scorpio and aries rising 😉",5,Macedabass,,2020-05-19T13:17:07Z,gb,"Good! But.... I'm a 12 year old who loves astrology. I really like the features in this app but i do have a slight problem. i'm not allowed to pay money on my phone. I really wish i could check my compatibility without having to watch a video before. overall, this is a good app. btw im sun in aquarius, moon in scorpio and aries rising 😉",positive,0.9764
11473456635,Scam Alert,"Don’t be fooled by nebula like my sister. This app is hypocritic and fraud. They just play with the mind of people and deduct money from other’s account unusually. They tell for small amounts of money but later they take off in huge amount without the knowing of card’s owner. So its a big fraud application I have ever seen and heard. This application withdrawn around $400 from my sister’s master card which is really a ridiculous activity and a cyber crime……They are doing bad and playing with people’s feelings in the name of astrology… So pathetic… Shame on owner of Nebula…😡😡😡 
At the end,, you’ll gonna get your karma back don’t worry….😒😡",1,Don Rabeena…..,,2024-07-09T15:11:32Z,gb,"Scam Alert. Don’t be fooled by nebula like my sister. This app is hypocritic and fraud. They just play with the mind of people and deduct money from other’s account unusually. They tell for small amounts of money but later they take off in huge amount without the knowing of card’s owner. So its a big fraud application I have ever seen and heard. This application withdrawn around $400 from my sister’s master card which is really a ridiculous activity and a cyber crime......They are doing bad and playing with people’s feelings in the name of astrology... So pathetic... Shame on owner of Nebula...😡😡😡 At the end,, you’ll gonna get your karma back don’t worry....😒😡",negative,-0.9917
14204383942,Anonymous,Learning something different each time and hopefully finding answers,5,JazzUrry93,,2026-06-20T08:08:28Z,gb,Anonymous. Learning something different each time and hopefully finding answers,positive,0.7009
14259197198,Insightful and Easy to Use,"I’ve really enjoyed using Nebula. The app is intuitive, visually appealing, and provides personalized astrology insights that are both thoughtful and engaging. The daily horoscopes and spiritual guidance give me something interesting to reflect on each day, and the readings feel detailed without being overwhelming. Whether you’re deeply into astrology or just curious, it’s a fun and well-designed app that’s worth trying. Highly recommend!",5,Stella86@,,2026-07-03T19:27:15Z,gb,"Insightful and Easy to Use. I’ve really enjoyed using Nebula. The app is intuitive, visually appealing, and provides personalized astrology insights that are both thoughtful and engaging. The daily horoscopes and spiritual guidance give me something interesting to reflect on each day, and the readings feel detailed without being overwhelming. Whether you’re deeply into astrology or just curious, it’s a fun and well-designed app that’s worth trying. Highly recommend!",positive,0.9856
